player_name,runs,bowling-stats,stadium,format
['Mohammed Siraj'],45,"['0/24', '1/44', '0/32', '3/27', '0/17', '2/25', '0/22', '2/45 & 0/12', '1/5 & 0/6', '1/77 & 5/73']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Ahmedabad', 'Chennai', 'Brisbane']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'Test # 2414', 'Test # 2411', 'Test # 2404']"
['Shubman Gill'],172,[],"['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Ahmedabad', 'Ahmedabad', 'Chennai']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'Test # 2414', 'Test # 2412', 'Test # 2411']"
['Kamlesh Nagarkoti'],22,"['0/25', '1/24', '0/34', '--', '0/11', '0/36', '0/40', '1/21', '1/35', '2/13']","['Mumbai', 'Dubai (DSC)', 'Dubai (DSC)', 'Sharjah', 'Abu Dhabi', 'Sharjah', 'Abu Dhabi', 'Abu Dhabi', 'Sharjah', 'Dubai (DSC)']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Shivam Mavi'],5,"['0/25', '1/13', '1/19', '1/63', '0/35', '1/31', '1/25', '4/51', '1/26', '0/13']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Delhi', 'Delhi', 'Delhi', 'Bengaluru', 'Alur (3)', 'Alur', 'Alur']","['T20', 'T20', 'T20', 'List A', 'List A', 'List A', 'List A', 'List A', 'List A', 'T20']"
['Varun Chakravarthy'],4,"['0/34', '1/24', '2/32', '1/27', '2/39', '1/27', '0/36', '2/20', '2/20', '1/34']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Dubai (DSC)', 'Dubai (DSC)', 'Sharjah']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Vaibhav Arora'],17,"['1/48', '1/36', '1/44', '1/24', '4/45', '3/30', '0/23', '0/41', '3/16', '2/34']","['Jaipur', 'Jaipur', 'Jaipur', 'Jaipur', 'Jaipur', 'Ahmedabad', 'Vadodara', 'Vadodara', 'Vadodara', 'Vadodara']","['List A', 'List A', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Ben Cutting'],155,"['--', '--', '1/23', '0/31', '0/20', '0/4', '0/16', '0/40', '1/26', '0/22']","['Karachi', 'Karachi', 'Karachi', 'Karachi', 'Karachi', 'Canberra', 'Adelaide', 'Adelaide', 'Adelaide', 'Canberra']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Sunil Narine'],29,"['0/36', '2/22', '0/20', '1/34', '3/36', '0/37', '0/24', '0/49', '1/30', '0/22']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Coolidge', 'North Sound', 'Coolidge', 'North Sound', 'Abu Dhabi', 'Abu Dhabi']","['T20', 'T20', 'T20', 'T20', 'List A', 'List A', 'List A', 'List A', 'OTHEROD', 'OTHEROD']"
['Sheldon Jackson'],469,[],"['01-Mar-2021', '27-Feb-2021', '25-Feb-2021', '23-Feb-2021', '21-Feb-2021', '19-Jan-2021', '17-Jan-2021', '15-Jan-2021', '13-Jan-2021', '11-Jan-2021']","['Jaipur', 'Jaipur', 'Jaipur', 'Jaipur', 'Jaipur', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai']"
['Eoin Morgan'],119,[],"['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Pune', 'Ahmedabad', 'Ahmedabad']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'ODI # 4281', 'T20I # 1138', 'T20I # 1135']"
['Andre Russell'],206,"['--', '0/2', '--', '1/27', '0/38', '5/15', '1/32', '--', '3/46', '0/22']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Hambantota', 'Hambantota', 'Hambantota']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Harbhajan Singh'],5,"['0/38', '0/17', '0/8', '0/27', '2/31', '1/25', '3/57', '1/28', '0/23', '2/39']","['Chennai', 'Chennai', 'Chennai', 'Hyderabad (Deccan)', 'Visakhapatnam', 'Chennai', 'Mohali', 'Chennai', 'Chennai', 'Chennai']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Dinesh Karthik'],180,[],"['29-Apr-2021', '26-Apr-2021', '24-Apr-2021', '21-Apr-2021', '18-Apr-2021', '13-Apr-2021', '11-Apr-2021', '28-Feb-2021', '26-Feb-2021', '24-Feb-2021']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Indore', 'Indore', 'Indore']"
['Karun Nair'],135,"['--', '0/16', '0/15', '0/18', '0/17', '--', '1/20', '--', '--', '--']","['Delhi', 'Delhi', 'Bengaluru', 'Bengaluru', 'Alur (3)', 'Bengaluru', 'Bengaluru', 'Ahmedabad', 'Alur (3)', 'Alur (2)']","['List A', 'List A', 'List A', 'List A', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20']"
['Rahul Tripathi'],271,"['--', '--', '--', '--', '--', '--', '--', '0/12', '0/13', '--']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Jaipur', 'Jaipur', 'Vadodara']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'List A', 'List A', 'T20']"
['Pat Cummins'],112,"['3/24', '2/31', '0/36', '0/58', '1/34', '2/24', '1/30', '3/34', '0/33', '--']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Sydney', 'Hobart', 'Sydney']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'List A', 'List A', 'List A']"
['Lockie Ferguson'],43,"['1/13', '2/25', '1/13', '1/22', '5/21', '0/54', '1/32', '1/30', '1/17', '3/15']","['Auckland', 'Hamilton', 'Mount Maunganui', 'Mount Maunganui', 'Auckland', 'Dubai (DSC)', 'Sharjah', 'Abu Dhabi', 'Abu Dhabi', 'Abu Dhabi']","['T20I # 1141', 'T20I # 1139', 'T20I # 1112', 'T20I # 1110', 'T20I # 1108', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Pawan Negi'],4,"['0/42', '0/30', '0/26', '2/38', '0/19', '0/33', '0/28', '3/11', '--', '1/26']","['Mumbai', 'Mumbai', 'Mumbai', 'Surat', 'Surat', 'Surat', 'Surat', 'Surat', 'Surat', 'Bengaluru']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'List A']"
['Kuldeep Yadav'],31,"['0/84', '0/68', '0/16 & 2/25', '0/41 & 0/4', '1/57', '--', '0/18', '1/20', '0/15', '0/39']","['Pune', 'Pune', 'Chennai', 'Sydney', 'Canberra', 'Abu Dhabi', 'Abu Dhabi', 'Dubai (DSC)', 'Abu Dhabi', 'Abu Dhabi']","['ODI # 4283', 'ODI # 4281', 'Test # 2411', 'FC', 'ODI # 4267', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Shakib Al Hasan'],270,"['0/24', '1/23', '1/34', '0/16', '0/12', '2/30', '4/8', '1/32', '0/36', '2/30']","['Chennai', 'Chennai', 'Chennai', 'Chattogram', 'Chattogram', 'Dhaka', 'Dhaka', 'Dhaka', 'Dhaka', 'Dhaka']","['T20', 'T20', 'T20', 'Test # 2407', 'ODI # 4274', 'ODI # 4272', 'ODI # 4270', 'T20', 'T20', 'T20']"
['Sandeep Warrier'],0,"['2/32', '0/30', '2/24', '1/34', '0/21', '2/22', '0/34', '2/50', '2/91', '1/36']","['Ahmedabad', 'Kolkata', 'Kolkata', 'Kolkata', 'Kolkata', 'Kolkata', 'Abu Dhabi', 'Lincoln', 'Christchurch', 'Christchurch']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'FC', 'FC', 'List A']"
['Nitish Rana'],391,"['--', '--', '--', '--', '--', '--', '--', '0/37', '2/40', '0/46']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Delhi', 'Delhi', 'Jaipur']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'List A', 'List A', 'List A']"
['Tim Seifert'],129,[],"['18-Mar-2021', '11-Mar-2021', '07-Mar-2021', '05-Mar-2021', '03-Mar-2021', '25-Feb-2021', '22-Feb-2021', '06-Feb-2021', '29-Jan-2021', '21-Jan-2021']","['Mount Maunganui', 'Whangarei', 'Wellington', 'Wellington', 'Wellington', 'Dunedin', 'Christchurch', 'Dunedin', 'Hamilton', 'Hamilton']"
['Rinku Singh'],329,"['--', '0/27', '--', '--', '--', '--', '--', '0/39', '--', '1/43']","['Alur (3)', 'Alur', 'Alur (2)', 'Bengaluru', 'Alur (3)', 'Alur (2)', 'Dubai (DSC)', 'Lucknow', 'Indore', 'Mumbai']","['List A', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20', 'FC', 'FC', 'FC']"
['Venkatesh Iyer'],500,"['2/24', '1/22', '--', '0/10', '--', '1/19', '0/17', '0/17', '1/27', '--']","['Indore', 'Indore', 'Indore', 'Indore', 'Indore', 'Indore', 'Indore', 'Indore', 'Indore', 'Indore']","['List A', 'List A', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Prasidh Krishna'],0,"['0/36', '3/30', '1/20', '0/49', '1/31', '1/42', '2/35', '0/62', '2/58', '4/54']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Chennai', 'Chennai', 'Chennai', 'Pune', 'Pune', 'Pune']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'ODI # 4284', 'ODI # 4283', 'ODI # 4281']"
['Utkarsh Singh'],201,"['1/34', '1/5', '0/23', '0/13', '0/11', '1/19', '--', '1/10', '1/19', '0/20']","['Indore', 'Indore', 'Indore', 'Indore', 'Indore', 'Kolkata', 'Kolkata', 'Kolkata', 'Kolkata', 'Kolkata']","['List A', 'List A', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Darshan Nalkande'],167,"['1/64', '1/55', '3/76', '1/41', '0/30', '2/27', '4/32', '4/20', '0/51', '2/40']","['Indore', 'Indore', 'Indore', 'Indore', 'Indore', 'Indore', 'Indore', 'Indore', 'Nagpur', 'Thiruvananthapuram']","['List A', 'List A', 'List A', 'T20', 'T20', 'T20', 'T20', 'T20', 'FC', 'T20']"
['Arshdeep Singh'],8,"['1/27', '1/28', '0/31', '1/22', '1/7', '3/35', '0/44', '0/57', '0/37', '2/16']","['Ahmedabad', 'Chennai', 'Chennai', 'Mumbai', 'Mumbai', 'Mumbai', 'Indore', 'Indore', 'Ahmedabad', 'Ahmedabad']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'List A', 'List A', 'T20', 'T20']"
['Prabhsimran Singh'],395,[],"['02-May-2021', '30-Apr-2021', '28-Feb-2021', '26-Feb-2021', '24-Feb-2021', '22-Feb-2021', '20-Feb-2021', '29-Jan-2021', '26-Jan-2021', '18-Jan-2021']","['Ahmedabad', 'Ahmedabad', 'Indore', 'Indore', 'Indore', 'Indore', 'Indore', 'Ahmedabad', 'Ahmedabad', 'Alur (2)']"
['Harpreet Brar'],66,"['1/19', '3/19', '0/20', '4/43', '1/31', '0/24', '0/5', '1/26', '2/22', '4/22']","['Ahmedabad', 'Ahmedabad', 'Indore', 'Indore', 'Indore', 'Ahmedabad', 'Ahmedabad', 'Alur (2)', 'Alur (3)', 'Alur (2)']","['T20', 'T20', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Ravi Bishnoi'],27,"['0/42', '2/17', '0/19', '2/21', '0/59', '1/45', '3/55', '2/60', '2/47', '1/32']","['Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Chennai', 'Jaipur', 'Jaipur', 'Jaipur', 'Jaipur', 'Jaipur', 'Ahmedabad']","['T20', 'T20', 'T20', 'T20', 'List A', 'List A', 'List A', 'List A', 'List A', 'T20']"
['Dawid Malan'],285,[],"['Ahmedabad', 'Pune', 'Pune', 'Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Melbourne', 'Melbourne']","['T20', 'ODI # 4284', 'ODI # 4283', 'T20I # 1138', 'T20I # 1135', 'T20I # 1133', 'T20I # 1132', 'T20I # 1131', 'T20', 'T20']"
['Jalaj Saxena'],101,"['0/27', '0/34', '3/30', '1/34', '1/40', '1/40', '2/43', '2/25', '2/9', '0/38']","['Mumbai', 'Delhi', 'Alur (3)', 'Bengaluru', 'Bengaluru', 'Alur (2)', 'Alur', 'Mumbai', 'Mumbai', 'Mumbai']","['T20', 'List A', 'List A', 'List A', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20']"
['Chris Jordan'],79,"['1/21', '1/31', '0/24', '0/57', '0/41', '2/35', '1/38', '1/27', '1/12', '0/16']","['Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Abu Dhabi', 'Abu Dhabi']","['T20', 'T20', 'T20', 'T20I # 1138', 'T20I # 1135', 'T20I # 1133', 'T20I # 1132', 'T20I # 1131', 'OTHEROD', 'OTHEROD']"
['Mayank Agarwal'],338,[],"['Ahmedabad', 'Ahmedabad', 'Chennai', 'Chennai', 'Mumbai', 'Mumbai', 'Mumbai', 'Brisbane', 'Melbourne', 'Adelaide']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'Test # 2404', 'Test # 2398', 'Test # 2396']"
['Mandeep Singh'],318,[],"['Indore', 'Indore', 'Indore', 'Indore', 'Indore', 'Ahmedabad', 'Ahmedabad', 'Alur (2)', 'Alur (3)', 'Alur (2)']","['List A', 'List A', 'List A', 'List A', 'List A', 'T20', 'T20', 'T20', 'T20', 'T20']"
['KL Rahul'],508,[],"['30-Apr-2021', '26-Apr-2021', '23-Apr-2021', '21-Apr-2021', '18-Apr-2021', '16-Apr-2021', '12-Apr-2021', '28-Mar-2021', '26-Mar-2021', '23-Mar-2021']","['Ahmedabad', 'Ahmedabad', 'Chennai', 'Chennai', 'Mumbai', 'Mumbai', 'Mumbai', 'Pune', 'Pune', 'Pune']"
['Mohammed Shami'],14,"['0/37', '1/28', '1/25', '2/21', '0/16', '0/53', '2/21', '2/33', '0/41', '3/29 & 2/58']","['Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Chennai', 'Chennai', 'Mumbai', 'Mumbai', 'Mumbai', 'Adelaide', 'Sydney']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'Test # 2396', 'FC']"
['Deepak Hooda'],179,"['0/11', '0/13', '1/20', '1/15', '0/22', '0/18', '--', '--', '--', '--']","['Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Chennai', 'Chennai', 'Mumbai', 'Mumbai', 'Mumbai', 'Abu Dhabi', 'Abu Dhabi']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Chris Gayle'],207,[],"['Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Chennai', 'Chennai', 'Mumbai', 'Mumbai', 'Mumbai', 'Coolidge', 'Coolidge']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20I # 1130', 'T20I # 1128']"
['Murugan Ashwin'],29,"['0/22', '1/32', '0/43', '0/38', '0/77', '0/27', '1/35', '0/30', '1/18', '2/40']","['Chennai', 'Mumbai', 'Mumbai', 'Indore', 'Indore', 'Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Kolkata', 'Kolkata']","['T20', 'T20', 'T20', 'List A', 'List A', 'T20', 'T20', 'T20', 'T20', 'T20']"
['Moises Henriques'],392,"['1/5', '0/12', '0/7', '--', '--', '--', '0/8', '0/15', '0/7', '--']","['Ahmedabad', 'Chennai', 'Chennai', 'Sydney', 'Hobart', 'Sydney', 'Adelaide', 'Adelaide', 'Sydney', 'Sydney']","['T20', 'T20', 'T20', 'List A', 'List A', 'List A', 'FC', 'List A', 'FC', 'FC']"
['Nicholas Pooran'],78,[],"['Ahmedabad', 'Ahmedabad', 'Chennai', 'Chennai', 'Mumbai', 'Mumbai', 'Mumbai', 'North Sound', 'North Sound', 'North Sound']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'ODI # 4278', 'ODI # 4277', 'ODI # 4276']"
['Saurabh Kumar'],285,"['2/41 & 5/121', '3/59 & 2/15', '0/193', '4/60 & 1/13', '5/44 & 5/39', '4/85 & 6/55', '6/116', '1/35 & 0/52', '0/27', '0/18']","['Lucknow', 'Indore', 'Mumbai', 'Kanpur', 'Kanpur', 'Rajkot', 'Hubballi', 'Meerut', 'Thiruvananthapuram', 'Thumba']","['FC', 'FC', 'FC', 'FC', 'FC', 'FC', 'FC', 'FC', 'T20', 'T20']"
['Sarfaraz Khan'],121,"['--', '--', '--', '--', '--', '--', '--', '--', '--', '0/3']","['Delhi', 'Delhi', 'Delhi', 'Jaipur', 'Jaipur', 'Jaipur', 'Jaipur', 'Jaipur', 'Mumbai', 'Mumbai']","['List A', 'List A', 'List A', 'List A', 'List A', 'List A', 'List A', 'List A', 'T20', 'T20']"
['Fabian Allen'],80,"['0/30', '1/22', '0/43', '0/43', '1/38', '1/13', '0/11', '1/4', '1/64', '2/41']","['Chennai', 'Chennai', 'North Sound', 'North Sound', 'North Sound', 'Coolidge', 'Coolidge', 'Coolidge', 'Coolidge', 'Coolidge']","['T20', 'T20', 'ODI # 4278', 'ODI # 4277', 'ODI # 4276', 'T20I # 1130', 'T20I # 1128', 'T20I # 1126', 'List A', 'List A']"
['Shahrukh Khan'],164,[],"['Ahmedabad', 'Ahmedabad', 'Ahmedabad', 'Chennai', 'Chennai', 'Mumbai', 'Mumbai', 'Mumbai', 'Indore', 'Indore']","['T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'T20', 'List A', 'List A']"
['Jhye Richardson'],45,"['2/41', '0/21', '1/55', '1/19', '0/16', '0/34', '1/39', '2/31', '2/45', '0/34']","['Mumbai', 'Mumbai', 'Mumbai', 'Wellington', 'Wellington', 'Wellington', 'Dunedin', 'Christchurch', 'Sydney', 'Canberra']","['T20', 'T20', 'T20', 'T20I # 1129', 'T20I # 1127', 'T20I # 1125', 'T20I # 1124', 'T20I # 1123', 'T20', 'T20']"
['Riley Meredith'],2,"['1/35', '1/29', '1/35', '0/21', '1/49', '1/44', '2/22', '2/39', '0/20', '2/24']","['Ahmedabad', 'Ahmedabad', 'Mumbai', 'Mumbai', 'Mumbai', 'Hobart', 'Melbourne', 'Wellington', 'Wellington', 'Wellington']","['T20', 'T20', 'T20', 'T20', 'T20', 'List A', 'List A', 'T20I # 1129', 'T20I # 1127', 'T20I # 1125']"
